,,0
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
A,11,0.0
A,12,0.0
A,13,0.0
A,14,0.0
A,15,0.0
A,16,0.0
A,17,0.0
A,18,0.0
A,19,0.0
A,20,0.0
A,21,0.0
A,22,0.0
A,23,0.0
A,24,0.0
A,25,0.0
A,26,0.0
A,27,0.0
A,28,0.0
A,29,0.0
A,30,0.0
A,31,0.0
A,32,0.0
A,33,0.0
A,34,0.0
A,35,0.0
A,36,0.0
A,37,0.0
A,38,0.0
A,39,0.0
A,40,0.0
A,41,0.0
A,42,0.0
A,43,0.0
A,44,0.0
A,45,0.0
A,46,0.0
A,47,0.0
A,48,0.0
A,49,0.0
A,50,0.0
A,51,0.0
A,52,0.0
A,53,0.0
A,54,0.0
A,55,0.0
A,56,0.0
A,57,0.0
A,58,0.0
A,59,0.0
A,60,0.0
A,61,0.0
A,62,0.0
A,63,0.0
A,64,0.0
A,65,0.0
A,66,0.0
A,67,0.0
A,68,0.0
A,69,0.0
A,70,0.0
A,71,0.0
A,72,0.0
A,73,0.0
A,74,0.0
A,75,0.0
A,76,0.0
A,77,0.0
A,78,0.0
A,79,0.0
A,80,0.0
A,81,0.0
A,82,0.0
A,83,0.0
A,84,0.0
A,85,0.0
A,86,0.0
A,87,0.0
A,88,0.0
A,89,0.0
A,90,0.0
A,91,0.0
A,92,0.0
A,93,0.0
A,94,0.0
A,95,0.0
A,96,0.0
A,97,0.0
A,98,0.0
A,99,0.0
A,100,0.0
B,1,0.0
B,2,0.0
B,3,0.0
B,4,0.0
B,5,0.0
B,6,0.0
B,7,0.0
B,8,0.0
B,9,0.0
B,10,0.0
B,11,0.0
B,12,0.0
B,13,0.0
B,14,0.0
B,15,0.0
B,16,0.0
B,17,0.0
B,18,0.0
B,19,0.0
B,20,0.0
B,21,0.0
B,22,0.0
B,23,0.0
B,24,0.0
B,25,0.0
B,26,0.0
B,27,0.0
B,28,0.0
B,29,0.0
B,30,0.0
B,31,0.0
B,32,0.0
B,33,0.0
B,34,0.0
B,35,0.0
B,36,0.0
B,37,0.0
B,38,0.0
B,39,0.0
B,40,0.0
B,41,0.0
B,42,0.0
B,43,0.0
B,44,0.0
B,45,0.0
B,46,0.0
B,47,0.0
B,48,0.0
B,49,0.0
B,50,0.0
B,51,0.0
B,52,0.0
B,53,0.0
B,54,0.0
B,55,0.0
B,56,0.0
B,57,0.0
B,58,0.0
B,59,0.0
B,60,0.0
B,61,0.0
B,62,0.0
B,63,0.0
B,64,0.0
B,65,0.0
B,66,0.0
B,67,0.0
B,68,0.0
B,69,0.0
B,70,0.0
B,71,0.0
B,72,0.0
B,73,0.0
B,74,0.0
B,75,0.0
B,76,0.0
B,77,0.0
B,78,0.0
B,79,0.0
B,80,0.0
B,81,0.0
B,82,0.0
B,83,0.0
B,84,0.0
B,85,0.0
B,86,0.0
B,87,0.0
B,88,0.0
B,89,0.0
B,90,0.0
B,91,0.0
B,92,0.0
B,93,0.0
B,94,0.0
B,95,0.0
B,96,0.0
B,97,0.0
B,98,0.0
B,99,0.0
B,100,0.0
C,1,0.0
C,2,0.0
C,3,0.0
C,4,0.0
C,5,0.0
C,6,0.0
C,7,0.0
C,8,0.0
C,9,0.0
C,10,0.0
C,11,0.0
C,12,0.0
C,13,0.0
C,14,0.0
C,15,0.0
C,16,0.0
C,17,0.0
C,18,0.0
C,19,0.0
C,20,0.0
C,21,0.0
C,22,0.0
C,23,0.0
C,24,0.0
C,25,0.0
C,26,0.0
C,27,0.0
C,28,0.0
C,29,0.0
C,30,0.0
C,31,0.0
C,32,0.0
C,33,0.0
C,34,0.0
C,35,0.0
C,36,0.0
C,37,0.0
C,38,0.0
C,39,0.0
C,40,0.0
C,41,0.0
C,42,0.0
C,43,0.0
C,44,0.0
C,45,0.0
C,46,0.0
C,47,0.0
C,48,0.0
C,49,0.0
C,50,0.0
C,51,0.0
C,52,0.0
C,53,0.0
C,54,0.0
C,55,0.0
C,56,0.0
C,57,0.0
C,58,0.0
C,59,0.0
C,60,0.0
C,61,0.0
C,62,0.0
C,63,0.0
C,64,0.0
C,65,0.0
C,66,0.0
C,67,0.0
C,68,0.0
C,69,0.0
C,70,0.0
C,71,0.0
C,72,0.0
C,73,0.0
C,74,0.0
C,75,0.0
C,76,0.0
C,77,0.0
C,78,0.0
C,79,0.0
C,80,0.0
C,81,0.0
C,82,0.0
C,83,0.0
C,84,0.0
C,85,0.0
C,86,0.0
C,87,0.0
C,88,0.0
C,89,0.0
C,90,0.0
C,91,0.0
C,92,0.0
C,93,0.0
C,94,0.0
C,95,0.0
C,96,0.0
C,97,0.0
C,98,0.0
C,99,0.0
C,100,0.0
D,1,-3.819718634205488
D,2,-1.273239544735163
D,3,-0.7639437268410968
D,4,-0.5456740906007843
D,5,-0.42441318157838737
D,6,-0.3472471485641362
D,7,-0.2938245103234994
D,8,-0.25464790894703326
D,9,-0.22468933142385236
D,10,-0.20103782285292102
D,11,-0.18189136353359475
D,12,-0.1660747232263261
D,13,-0.1527887453682185
D,14,-0.14147106052612968
D,15,-0.1317144356622582
D,16,-0.12321673013566138
D,17,-0.1157490495213776
D,18,-0.10913481812015803
D,19,-0.10323563876231046
D,20,-0.09794150344116748
D,21,-0.09316386912696241
D,22,-0.08883066591175592
D,23,-0.08488263631567623
D,24,-0.08127060923841445
D,25,-0.07795344151439708
D,26,-0.07489644380795112
D,27,-0.07207016290953741
D,28,-0.0694494297128279
D,29,-0.06701260761763957
D,30,-0.06474099380009338
D,31,-0.06261833826566361
D,32,-0.06063045451119813
D,33,-0.05876490206469845
D,34,-0.05701072588366433
D,35,-0.05535824107544173
D,36,-0.05379885400289492
D,37,-0.05232491279733421
D,38,-0.05092958178940757
D,39,-0.04960673550916204
D,40,-0.048350868787411225
D,41,-0.047157020175375916
D,42,-0.046020706436210354
D,43,-0.044937866284770304
D,44,-0.043904811887420035
D,45,-0.04291818690118541
D,46,-0.04197493004621446
D,47,-0.04107224337855173
D,48,-0.04020756457058411
D,49,-0.039378542620674695
D,50,-0.0385830165071259
D,51,-0.03781899637827199
D,52,-0.03708464693403549
D,53,-0.03637827270671903
D,54,-0.03569830499257496
D,55,-0.035043290222068035
D,56,-0.03441187958743688
D,57,-0.033802819771728616
D,58,-0.033214944645264935
D,59,-0.03264716781372194
D,60,-0.0320984759176937
D,61,-0.03156792259673962
D,62,-0.03105462304232222
D,63,-0.03055774907364243
D,64,-0.030076524678784303
D,65,-0.02961022197058479
D,66,-0.029158157513018864
D,67,-0.028719688978987634
D,68,-0.02829421210522713
D,69,-0.027881157913907894
D,70,-0.027479990174140483
D,71,-0.02709020307947098
D,72,-0.026711319120318947
D,73,-0.02634288713245052
D,74,-0.025984480504799894
D,75,-0.02563569553158027
D,76,-0.02529614989540105
D,77,-0.024965481269316196
D,78,-0.024643346027133164
D,79,-0.02432941805226372
D,80,-0.02402338763651261
D,81,-0.023724960460903294
D,82,-0.023433856651568025
D,83,-0.02314980990427484
D,84,-0.02287256667189024
D,85,-0.022601885409499898
D,86,-0.02233753587254699
D,87,-0.02207929846361378
D,88,-0.021826963624032098
D,89,-0.02158033126669794
D,90,-0.021339210246958003
D,91,-0.02110341786853841
D,92,-0.020872779421888334
D,93,-0.020647127752461462
D,94,-0.020426302856714693
D,95,-0.020210151503732832
