,,0
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
A,11,0.0
A,12,0.0
A,13,0.0
A,14,0.0
A,15,0.0
A,16,0.0
A,17,0.0
A,18,0.0
A,19,0.0
A,20,0.0
A,21,0.0
A,22,0.0
A,23,0.0
A,24,0.0
A,25,0.0
A,26,0.0
A,27,0.0
A,28,0.0
A,29,0.0
A,30,0.0
A,31,0.0
A,32,0.0
A,33,0.0
A,34,0.0
A,35,0.0
A,36,0.0
A,37,0.0
A,38,0.0
A,39,0.0
A,40,0.0
A,41,0.0
A,42,0.0
A,43,0.0
A,44,0.0
A,45,0.0
A,46,0.0
A,47,0.0
A,48,0.0
A,49,0.0
A,50,0.0
A,51,0.0
A,52,0.0
A,53,0.0
A,54,0.0
A,55,0.0
A,56,0.0
A,57,0.0
A,58,0.0
A,59,0.0
A,60,0.0
A,61,0.0
A,62,0.0
A,63,0.0
A,64,0.0
A,65,0.0
A,66,0.0
A,67,0.0
A,68,0.0
A,69,0.0
A,70,0.0
A,71,0.0
A,72,0.0
A,73,0.0
A,74,0.0
A,75,0.0
A,76,0.0
A,77,0.0
A,78,0.0
A,79,0.0
A,80,0.0
A,81,0.0
A,82,0.0
A,83,0.0
A,84,0.0
A,85,0.0
A,86,0.0
A,87,0.0
A,88,0.0
A,89,0.0
A,90,0.0
A,91,0.0
A,92,0.0
A,93,0.0
A,94,0.0
A,95,0.0
A,96,0.0
A,97,0.0
A,98,0.0
A,99,0.0
A,100,0.0
B,1,0.0
B,2,0.0
B,3,0.0
B,4,0.0
B,5,0.0
B,6,0.0
B,7,0.0
B,8,0.0
B,9,0.0
B,10,0.0
B,11,0.0
B,12,0.0
B,13,0.0
B,14,0.0
B,15,0.0
B,16,0.0
B,17,0.0
B,18,0.0
B,19,0.0
B,20,0.0
B,21,0.0
B,22,0.0
B,23,0.0
B,24,0.0
B,25,0.0
B,26,0.0
B,27,0.0
B,28,0.0
B,29,0.0
B,30,0.0
B,31,0.0
B,32,0.0
B,33,0.0
B,34,0.0
B,35,0.0
B,36,0.0
B,37,0.0
B,38,0.0
B,39,0.0
B,40,0.0
B,41,0.0
B,42,0.0
B,43,0.0
B,44,0.0
B,45,0.0
B,46,0.0
B,47,0.0
B,48,0.0
B,49,0.0
B,50,0.0
B,51,0.0
B,52,0.0
B,53,0.0
B,54,0.0
B,55,0.0
B,56,0.0
B,57,0.0
B,58,0.0
B,59,0.0
B,60,0.0
B,61,0.0
B,62,0.0
B,63,0.0
B,64,0.0
B,65,0.0
B,66,0.0
B,67,0.0
B,68,0.0
B,69,0.0
B,70,0.0
B,71,0.0
B,72,0.0
B,73,0.0
B,74,0.0
B,75,0.0
B,76,0.0
B,77,0.0
B,78,0.0
B,79,0.0
B,80,0.0
B,81,0.0
B,82,0.0
B,83,0.0
B,84,0.0
B,85,0.0
B,86,0.0
B,87,0.0
B,88,0.0
B,89,0.0
B,90,0.0
B,91,0.0
B,92,0.0
B,93,0.0
B,94,0.0
B,95,0.0
B,96,0.0
B,97,0.0
B,98,0.0
B,99,0.0
B,100,0.0
C,1,0.0
C,2,0.0
C,3,0.0
C,4,0.0
C,5,0.0
C,6,0.0
C,7,0.0
C,8,0.0
C,9,0.0
C,10,0.0
C,11,0.0
C,12,0.0
C,13,0.0
C,14,0.0
C,15,0.0
C,16,0.0
C,17,0.0
C,18,0.0
C,19,0.0
C,20,0.0
C,21,0.0
C,22,0.0
C,23,0.0
C,24,0.0
C,25,0.0
C,26,0.0
C,27,0.0
C,28,0.0
C,29,0.0
C,30,0.0
C,31,0.0
C,32,0.0
C,33,0.0
C,34,0.0
C,35,0.0
C,36,0.0
C,37,0.0
C,38,0.0
C,39,0.0
C,40,0.0
C,41,0.0
C,42,0.0
C,43,0.0
C,44,0.0
C,45,0.0
C,46,0.0
C,47,0.0
C,48,0.0
C,49,0.0
C,50,0.0
C,51,0.0
C,52,0.0
C,53,0.0
C,54,0.0
C,55,0.0
C,56,0.0
C,57,0.0
C,58,0.0
C,59,0.0
C,60,0.0
C,61,0.0
C,62,0.0
C,63,0.0
C,64,0.0
C,65,0.0
C,66,0.0
C,67,0.0
C,68,0.0
C,69,0.0
C,70,0.0
C,71,0.0
C,72,0.0
C,73,0.0
C,74,0.0
C,75,0.0
C,76,0.0
C,77,0.0
C,78,0.0
C,79,0.0
C,80,0.0
C,81,0.0
C,82,0.0
C,83,0.0
C,84,0.0
C,85,0.0
C,86,0.0
C,87,0.0
C,88,0.0
C,89,0.0
C,90,0.0
C,91,0.0
C,92,0.0
C,93,0.0
C,94,0.0
C,95,0.0
C,96,0.0
C,97,0.0
C,98,0.0
C,99,0.0
C,100,0.0
D,1,0.0
D,2,0.0
D,3,0.0
D,4,0.0
D,5,0.0
D,6,0.0
D,7,0.0
D,8,0.0
D,9,0.0
D,10,0.0
D,11,0.0
D,12,0.0
D,13,0.0
D,14,0.0
D,15,0.0
D,16,0.0
D,17,0.0
D,18,0.0
D,19,0.0
D,20,0.0
D,21,0.0
D,22,0.0
D,23,0.0
D,24,0.0
D,25,0.0
D,26,0.0
D,27,0.0
D,28,0.0
D,29,0.0
D,30,0.0
D,31,0.0
D,32,0.0
D,33,0.0
D,34,0.0
D,35,0.0
D,36,0.0
D,37,0.0
D,38,0.0
D,39,0.0
D,40,0.0
D,41,0.0
D,42,0.0
D,43,0.0
D,44,0.0
D,45,0.0
D,46,0.0
D,47,0.0
D,48,0.0
D,49,0.0
D,50,0.0
D,51,0.0
D,52,0.0
D,53,0.0
D,54,0.0
D,55,0.0
D,56,0.0
D,57,0.0
D,58,0.0
D,59,0.0
D,60,0.0
D,61,0.0
D,62,0.0
D,63,0.0
D,64,0.0
D,65,0.0
D,66,0.0
D,67,0.0
D,68,0.0
D,69,0.0
D,70,0.0
D,71,0.0
D,72,0.0
D,73,0.0
D,74,0.0
D,75,0.0
D,76,0.0
D,77,0.0
D,78,0.0
D,79,0.0
D,80,0.0
D,81,0.0
D,82,0.0
D,83,0.0
D,84,0.0
D,85,0.0
D,86,0.0
D,87,0.0
D,88,0.0
D,89,0.0
D,90,0.0
D,91,0.0
D,92,0.0
D,93,0.0
D,94,0.0
D,95,0.0
D,96,0.0
D,97,0.0
D,98,0.0
D,99,0.0
D,100,0.0
E,1,-0.7859103672398863
E,2,-0.40332627227868156
E,3,1.0901838613674868
E,4,-0.7546505400435155
E,5,0.2751296764709349
E,6,-0.0016166000020437221
E,7,-0.2796328758230182
E,8,0.4771557588110123
E,9,-0.4848485732831444
E,10,0.41508176622374965
E,11,-0.2857496895149999
E,12,0.09118993380260257
E,13,0.07466824679535676
E,14,-0.18281959667645067
E,15,0.2429889544294271
E,16,-0.22276481852559094
E,17,0.13951428220456197
E,18,-0.03889728425680326
E,19,-0.06918299534582115
E,20,0.15582221910526084
E,21,-0.18870931101712704
E,22,0.1768218668186774
E,23,-0.1262524259766606
E,24,0.04331961955451081
E,25,0.03920084084191647
E,26,-0.10108459650278939
E,27,0.13579666244788513
E,28,-0.12931441479142286
E,29,0.08666562106721831
E,30,-0.027320522214569667
E,31,-0.03820615029367514
E,32,0.09237872128640051
E,33,-0.1169986901682258
E,34,0.11228397101552601
E,35,-0.08092978620654429
E,36,0.028396469789773317
E,37,0.026566857473405685
E,38,-0.06978961511651341
E,39,0.09420676993710062
