,,0
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
B,1,0.0
B,2,0.0
B,3,0.0
B,4,0.0
B,5,0.0
B,6,0.0
B,7,0.0
B,8,0.0
B,9,0.0
B,10,0.0
C,1,0.9253401511929211
C,2,-1.0289529118542644
C,3,0.4444502603629689
C,4,-0.3968671951952996
C,5,0.2629280600858707
C,6,-0.24489594150785943
C,7,0.1862904687860167
C,8,-0.17697033457925465
C,9,0.144183410320824
C,10,-0.1385159048149961
D,1,0.0
D,2,0.0
D,3,0.0
D,4,0.0
D,5,0.0
D,6,0.0
D,7,0.0
D,8,0.0
D,9,0.0
D,10,0.0
E,1,0.0
E,2,0.0
E,3,0.0
E,4,0.0
E,5,0.0
E,6,0.0
E,7,0.0
E,8,0.0
E,9,0.0
E,10,0.0
F,1,-0.6366197723675814
F,2,0.3183098861837907
F,3,-0.21220659078919377
F,4,0.15915494309189535
F,5,-0.12732395447351627
F,6,0.10610329539459688
F,7,-0.09094568176679733
F,8,0.07957747154594767
F,9,-0.0707355302630646
F,10,0.06366197723675814
G,1,0.0
G,2,0.0
G,3,0.0
G,4,0.0
G,5,0.0
G,6,0.0
G,7,0.0
G,8,0.0
G,9,0.0
G,10,0.0
H,1,0.0
H,2,0.0
H,3,0.0
H,4,0.0
H,5,0.0
H,6,0.0
H,7,0.0
H,8,0.0
H,9,0.0
H,10,0.0
I,1,0.0
I,2,0.0
I,3,0.0
I,4,0.0
I,5,0.0
I,6,0.0
I,7,0.0
I,8,0.0
I,9,0.0
I,10,0.0
J,1,0.0
J,2,0.0
J,3,0.0
J,4,0.0
J,5,0.0
J,6,0.0
J,7,0.0
J,8,0.0
J,9,0.0
J,10,0.0
K,1,0.0
K,2,0.0
K,3,0.0
K,4,0.0
K,5,0.0
K,6,0.0
K,7,0.0
K,8,0.0
K,9,0.0
K,10,0.0
L,1,0.0
L,2,0.0
L,3,0.0
L,4,0.0
L,5,0.0
L,6,0.0
L,7,0.0
L,8,0.0
L,9,0.0
L,10,0.0
M,1,0.0
M,2,0.0
M,3,0.0
M,4,0.0
M,5,0.0
M,6,0.0
M,7,0.0
M,8,0.0
M,9,0.0
M,10,0.0
N,1,0.0
N,2,0.0
N,3,0.0
N,4,0.0
N,5,0.0
N,6,0.0
N,7,0.0
N,8,0.0
N,9,0.0
N,10,0.0
O,1,-0.9549296585513722
O,2,0.4774648292756861
O,3,-0.3183098861837907
O,4,0.23873241463784306
O,5,-0.19098593171027445
O,6,0.15915494309189535
O,7,-0.13641852265019602
O,8,0.11936620731892153
O,9,-0.1061032953945969
O,10,0.09549296585513722
P,1,0.12692120823365016
P,2,0.2970444775226636
P,3,0.30050064240709295
P,4,0.2052856152989317
P,5,0.1273189822977155
P,6,0.10627534426103544
P,7,0.10472445217786172
P,8,0.08997738447790651
P,9,0.07092994437368949
P,10,0.06383721056361938
Q,1,0.0
Q,2,0.0
Q,3,0.0
Q,4,0.0
Q,5,0.0
Q,6,0.0
Q,7,0.0
Q,8,0.0
Q,9,0.0
Q,10,0.0
R,1,-0.16520918776941673
R,2,0.28003471158019727
R,3,-0.31830988618379064
R,4,0.2880899440617153
R,5,-0.2225747505415528
R,6,0.15915494309189532
R,7,-0.12030177834852346
R,8,0.10702682496295347
R,9,-0.10610329539459681
R,10,0.10339017056295689
