,,0
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
B,1,0.0
B,2,0.0
B,3,0.0
B,4,0.0
B,5,0.0
B,6,0.0
B,7,0.0
B,8,0.0
B,9,0.0
B,10,0.0
C,1,0.0
C,2,0.0
C,3,0.0
C,4,0.0
C,5,0.0
C,6,0.0
C,7,0.0
C,8,0.0
C,9,0.0
C,10,0.0
D,1,-3.819718634205488
D,2,-1.273239544735163
D,3,-0.7639437268410968
D,4,-0.5456740906007843
D,5,-0.42441318157838737
D,6,-0.3472471485641362
D,7,-0.2938245103234994
D,8,-0.25464790894703326
D,9,-0.22468933142385236
D,10,-0.20103782285292102
E,1,0.0
E,2,0.0
E,3,0.0
E,4,0.0
E,5,0.0
E,6,0.0
E,7,0.0
E,8,0.0
E,9,0.0
E,10,0.0
F,1,2.670201155131484
F,2,0.8105694691387021
F,3,-0.39861305509519174
F,4,-0.20337400770162845
F,5,0.09006327434874474
F,6,0.022067778141582728
F,7,0.015800006835097635
F,8,0.03242277876554816
F,9,-0.034482098191625704
F,10,-0.027604782208808465
G,1,2.670201155131484
G,2,-0.810569469138702
G,3,-0.3986130550951937
G,4,0.2033740077016291
G,5,0.09006327434874445
G,6,-0.0220677781415817
G,7,0.015800006835097857
G,8,-0.03242277876554733
G,9,-0.0344820981916254
G,10,0.027604782208808853
H,1,0.0
H,2,0.0
H,3,0.0
H,4,0.0
H,5,0.0
H,6,0.0
H,7,0.0
H,8,0.0
H,9,0.0
H,10,0.0
I,1,0.0
I,2,0.0
I,3,0.0
I,4,0.0
I,5,0.0
I,6,0.0
I,7,0.0
I,8,0.0
I,9,0.0
I,10,0.0
J,1,0.0
J,2,0.0
J,3,0.0
J,4,0.0
J,5,0.0
J,6,0.0
J,7,0.0
J,8,0.0
J,9,0.0
J,10,0.0
K,1,0.0
K,2,0.0
K,3,0.0
K,4,0.0
K,5,0.0
K,6,0.0
K,7,0.0
K,8,0.0
K,9,0.0
K,10,0.0
L,1,0.0
L,2,0.0
L,3,0.0
L,4,0.0
L,5,0.0
L,6,0.0
L,7,0.0
L,8,0.0
L,9,0.0
L,10,0.0
M,1,0.0
M,2,0.0
M,3,0.0
M,4,0.0
M,5,0.0
M,6,0.0
M,7,0.0
M,8,0.0
M,9,0.0
M,10,0.0
N,1,0.0
N,2,0.0
N,3,0.0
N,4,0.0
N,5,0.0
N,6,0.0
N,7,0.0
N,8,0.0
N,9,0.0
N,10,0.0
O,1,0.0
O,2,0.0
O,3,0.0
O,4,0.0
O,5,0.0
O,6,0.0
O,7,0.0
O,8,0.0
O,9,0.0
O,10,0.0
