,,0
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
A,11,0.0
A,12,0.0
A,13,0.0
A,14,0.0
A,15,0.0
A,16,0.0
A,17,0.0
A,18,0.0
A,19,0.0
A,20,0.0
A,21,0.0
A,22,0.0
A,23,0.0
A,24,0.0
A,25,0.0
A,26,0.0
A,27,0.0
A,28,0.0
A,29,0.0
A,30,0.0
A,31,0.0
A,32,0.0
A,33,0.0
A,34,0.0
A,35,0.0
A,36,0.0
A,37,0.0
A,38,0.0
A,39,0.0
A,40,0.0
A,41,0.0
A,42,0.0
A,43,0.0
A,44,0.0
A,45,0.0
A,46,0.0
A,47,0.0
A,48,0.0
A,49,0.0
A,50,0.0
A,51,0.0
A,52,0.0
A,53,0.0
A,54,0.0
A,55,0.0
A,56,0.0
A,57,0.0
A,58,0.0
A,59,0.0
A,60,0.0
A,61,0.0
A,62,0.0
A,63,0.0
A,64,0.0
A,65,0.0
A,66,0.0
A,67,0.0
A,68,0.0
A,69,0.0
A,70,0.0
A,71,0.0
A,72,0.0
A,73,0.0
A,74,0.0
A,75,0.0
A,76,0.0
A,77,0.0
A,78,0.0
A,79,0.0
A,80,0.0
A,81,0.0
A,82,0.0
A,83,0.0
A,84,0.0
A,85,0.0
A,86,0.0
A,87,0.0
A,88,0.0
A,89,0.0
A,90,0.0
A,91,0.0
A,92,0.0
A,93,0.0
A,94,0.0
A,95,0.0
A,96,0.0
A,97,0.0
A,98,0.0
A,99,0.0
A,100,0.0
A,101,0.0
A,102,0.0
A,103,0.0
A,104,0.0
A,105,0.0
A,106,0.0
A,107,0.0
A,108,0.0
A,109,0.0
A,110,0.0
A,111,0.0
A,112,0.0
A,113,0.0
A,114,0.0
A,115,0.0
A,116,0.0
A,117,0.0
A,118,0.0
A,119,0.0
A,120,0.0
A,121,0.0
A,122,0.0
A,123,0.0
A,124,0.0
A,125,0.0
A,126,0.0
A,127,0.0
A,128,0.0
A,129,0.0
A,130,0.0
A,131,0.0
A,132,0.0
A,133,0.0
A,134,0.0
A,135,0.0
A,136,0.0
A,137,0.0
A,138,0.0
A,139,0.0
A,140,0.0
A,141,0.0
A,142,0.0
A,143,0.0
A,144,0.0
A,145,0.0
A,146,0.0
A,147,0.0
A,148,0.0
A,149,0.0
A,150,0.0
B,1,0.0
B,2,0.0
B,3,0.0
B,4,0.0
B,5,0.0
B,6,0.0
B,7,0.0
B,8,0.0
B,9,0.0
B,10,0.0
B,11,0.0
B,12,0.0
B,13,0.0
B,14,0.0
B,15,0.0
B,16,0.0
B,17,0.0
B,18,0.0
B,19,0.0
B,20,0.0
B,21,0.0
B,22,0.0
B,23,0.0
B,24,0.0
B,25,0.0
B,26,0.0
B,27,0.0
B,28,0.0
B,29,0.0
B,30,0.0
B,31,0.0
B,32,0.0
B,33,0.0
B,34,0.0
B,35,0.0
B,36,0.0
B,37,0.0
B,38,0.0
B,39,0.0
B,40,0.0
B,41,0.0
B,42,0.0
B,43,0.0
B,44,0.0
B,45,0.0
B,46,0.0
B,47,0.0
B,48,0.0
B,49,0.0
B,50,0.0
B,51,0.0
B,52,0.0
B,53,0.0
B,54,0.0
B,55,0.0
B,56,0.0
B,57,0.0
B,58,0.0
B,59,0.0
B,60,0.0
B,61,0.0
B,62,0.0
B,63,0.0
B,64,0.0
B,65,0.0
B,66,0.0
B,67,0.0
B,68,0.0
B,69,0.0
B,70,0.0
B,71,0.0
B,72,0.0
B,73,0.0
B,74,0.0
B,75,0.0
B,76,0.0
B,77,0.0
B,78,0.0
B,79,0.0
B,80,0.0
B,81,0.0
B,82,0.0
B,83,0.0
B,84,0.0
B,85,0.0
B,86,0.0
B,87,0.0
B,88,0.0
B,89,0.0
B,90,0.0
B,91,0.0
B,92,0.0
B,93,0.0
B,94,0.0
B,95,0.0
B,96,0.0
B,97,0.0
B,98,0.0
B,99,0.0
B,100,0.0
B,101,0.0
B,102,0.0
B,103,0.0
B,104,0.0
B,105,0.0
B,106,0.0
B,107,0.0
B,108,0.0
B,109,0.0
B,110,0.0
B,111,0.0
B,112,0.0
B,113,0.0
B,114,0.0
B,115,0.0
B,116,0.0
B,117,0.0
B,118,0.0
B,119,0.0
B,120,0.0
B,121,0.0
B,122,0.0
B,123,0.0
B,124,0.0
B,125,0.0
B,126,0.0
B,127,0.0
B,128,0.0
B,129,0.0
B,130,0.0
B,131,0.0
B,132,0.0
B,133,0.0
B,134,0.0
B,135,0.0
B,136,0.0
B,137,0.0
B,138,0.0
B,139,0.0
B,140,0.0
B,141,0.0
B,142,0.0
B,143,0.0
B,144,0.0
B,145,0.0
B,146,0.0
B,147,0.0
B,148,0.0
B,149,0.0
B,150,0.0
C,1,0.0
C,2,0.0
C,3,0.0
C,4,0.0
C,5,0.0
C,6,0.0
C,7,0.0
C,8,0.0
C,9,0.0
C,10,0.0
C,11,0.0
C,12,0.0
C,13,0.0
C,14,0.0
C,15,0.0
C,16,0.0
C,17,0.0
C,18,0.0
C,19,0.0
C,20,0.0
C,21,0.0
C,22,0.0
C,23,0.0
C,24,0.0
C,25,0.0
C,26,0.0
C,27,0.0
C,28,0.0
C,29,0.0
C,30,0.0
C,31,0.0
C,32,0.0
C,33,0.0
C,34,0.0
C,35,0.0
C,36,0.0
C,37,0.0
C,38,0.0
C,39,0.0
C,40,0.0
C,41,0.0
C,42,0.0
C,43,0.0
C,44,0.0
C,45,0.0
C,46,0.0
C,47,0.0
C,48,0.0
C,49,0.0
C,50,0.0
C,51,0.0
C,52,0.0
C,53,0.0
C,54,0.0
C,55,0.0
C,56,0.0
C,57,0.0
C,58,0.0
C,59,0.0
C,60,0.0
C,61,0.0
C,62,0.0
C,63,0.0
C,64,0.0
C,65,0.0
C,66,0.0
C,67,0.0
C,68,0.0
C,69,0.0
C,70,0.0
C,71,0.0
C,72,0.0
C,73,0.0
C,74,0.0
C,75,0.0
C,76,0.0
C,77,0.0
C,78,0.0
C,79,0.0
C,80,0.0
C,81,0.0
C,82,0.0
C,83,0.0
C,84,0.0
C,85,0.0
C,86,0.0
C,87,0.0
C,88,0.0
C,89,0.0
C,90,0.0
C,91,0.0
C,92,0.0
C,93,0.0
C,94,0.0
C,95,0.0
C,96,0.0
C,97,0.0
C,98,0.0
C,99,0.0
C,100,0.0
C,101,0.0
C,102,0.0
C,103,0.0
C,104,0.0
C,105,0.0
C,106,0.0
C,107,0.0
C,108,0.0
C,109,0.0
C,110,0.0
C,111,0.0
C,112,0.0
C,113,0.0
C,114,0.0
C,115,0.0
C,116,0.0
C,117,0.0
C,118,0.0
C,119,0.0
C,120,0.0
C,121,0.0
C,122,0.0
C,123,0.0
C,124,0.0
C,125,0.0
C,126,0.0
C,127,0.0
C,128,0.0
C,129,0.0
C,130,0.0
C,131,0.0
C,132,0.0
C,133,0.0
C,134,0.0
C,135,0.0
C,136,0.0
C,137,0.0
C,138,0.0
C,139,0.0
C,140,0.0
C,141,0.0
C,142,0.0
C,143,0.0
C,144,0.0
C,145,0.0
C,146,0.0
C,147,0.0
C,148,0.0
C,149,0.0
C,150,0.0
D,1,-3.819718634205488
D,2,-1.273239544735163
D,3,-0.7639437268410968
D,4,-0.5456740906007843
D,5,-0.42441318157838737
D,6,-0.3472471485641362
D,7,-0.2938245103234994
D,8,-0.25464790894703326
D,9,-0.22468933142385236
