,,0
A,1,0.0
A,2,0.0
A,3,0.0
A,4,0.0
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
A,10,0.0
B,1,0.0
B,2,0.0
B,3,0.0
B,4,0.0
B,5,0.0
B,6,0.0
B,7,0.0
B,8,0.0
B,9,0.0
B,10,0.0
C,1,0.0
C,2,0.0
C,3,0.0
C,4,0.0
C,5,0.0
C,6,0.0
C,7,0.0
C,8,0.0
C,9,0.0
C,10,0.0
D,1,0.0
D,2,0.0
D,3,0.0
D,4,0.0
D,5,0.0
D,6,0.0
D,7,0.0
D,8,0.0
D,9,0.0
D,10,0.0
E,1,-0.7859103672398863
E,2,-0.40332627227868156
E,3,1.0901838613674868
E,4,-0.7546505400435155
E,5,0.2751296764709349
E,6,-0.0016166000020437221
E,7,-0.2796328758230182
E,8,0.4771557588110123
E,9,-0.4848485732831444
E,10,0.41508176622374965
F,1,0.0
F,2,0.0
F,3,0.0
F,4,0.0
F,5,0.0
F,6,0.0
F,7,0.0
F,8,0.0
F,9,0.0
F,10,0.0
G,1,0.0
G,2,0.0
G,3,0.0
G,4,0.0
G,5,0.0
G,6,0.0
G,7,0.0
G,8,0.0
G,9,0.0
G,10,0.0
H,1,-3.2703151703311804
H,2,-4.440892098500626e-16
H,3,0.4881992948975703
H,4,0.24908127290692306
H,5,1.1102230246251565e-16
H,6,-0.027027398101911515
H,7,0.019350977339237546
H,8,-6.661338147750939e-16
H,9,-0.04223177291501484
H,10,-0.033808815436120465
I,1,-1.8403537225999869
I,2,-0.8662070523975933
I,3,1.1102230246251565e-16
I,4,0.1590992545220069
I,5,0.022720416328395054
I,6,0.0152095348975205
I,7,0.046129369654309686
I,8,-5.551115123125783e-17
I,9,-0.02697530613002886
I,10,-0.005097932749584477
J,1,0.0
J,2,0.0
J,3,0.0
J,4,0.0
J,5,0.0
J,6,0.0
J,7,0.0
J,8,0.0
J,9,0.0
J,10,0.0
K,1,0.0
K,2,0.0
K,3,0.0
K,4,0.0
K,5,0.0
K,6,0.0
K,7,0.0
K,8,0.0
K,9,0.0
K,10,0.0
L,1,0.0
L,2,0.0
L,3,0.0
L,4,0.0
L,5,0.0
L,6,0.0
L,7,0.0
L,8,0.0
L,9,0.0
L,10,0.0
M,1,0.0
M,2,0.0
M,3,0.0
M,4,0.0
M,5,0.0
M,6,0.0
M,7,0.0
M,8,0.0
M,9,0.0
M,10,0.0
N,1,1.909859317102744
N,2,0.9549296585513722
N,3,0.6366197723675814
N,4,0.4774648292756861
N,5,0.3819718634205488
N,6,0.3183098861837907
N,7,0.27283704530039204
N,8,0.23873241463784306
N,9,0.2122065907891938
N,10,0.19098593171027445
O,1,-2.2402776926415777
O,2,1.5149990817117667
O,3,-1.2732395447351625
O,4,1.0536447173991168
O,5,-0.8271213645036545
O,6,0.6366197723675813
O,7,-0.5134406019974389
O,8,0.45278606456375003
O,9,-0.4244131815783874
O,10,0.39776627283618826
P,1,0.0
P,2,0.0
P,3,0.0
P,4,0.0
P,5,0.0
P,6,0.0
P,7,0.0
P,8,0.0
P,9,0.0
P,10,0.0
